new_course_id,new_course_name,university_id,degree_id,first_valid_semester,valid_row_count,candidate_old_course_id,candidate_old_course_name,last_train_semester,train_row_count,exact_name_match,name_similarity,credits_match,course_type_match,requirement_type_match,planned_level_match,prerequisite_similarity,temporal_replacement_signal,official_mapping_evidence,candidate_score,diagnostic_status,review_reason
101.111,إدارة المشتريات والتخزين,111,7.111|9.111,20221,50,54.111,ادارة عمليات التامين,20202,62,False,0.6818181818181818,True,True,True,True,,False,,35.0,unresolved,"plausible content match exists, but structural/temporal evidence is insufficient or conflicting; human review required"
102.111,التسويق المباشر,111,7.111,20221,32,399.111,التسويق,20151,29,False,0.6363636363636364,False,True,True,False,,False,,17.0,unresolved,"plausible content match exists, but structural/temporal evidence is insufficient or conflicting; human review required"
103.111,تسويق الخدمات,111,7.111|9.111,20221,54,881.111,تمثيل الخزانات,20213,179,False,0.5925925925925926,True,False,True,False,,False,,20.0,genuinely_new,best historical normalized-name similarity 0.593 is below 0.60
104.111,إدارة النقل,111,7.111,20222,51,98.111,إدارة التسويق,20213,814,False,0.75,True,True,False,False,,False,,33.0,unresolved,"plausible content match exists, but structural/temporal evidence is insufficient or conflicting; human review required"
105.111,ادارة  الترويج والاعلان,111,7.111,20222,48,56.111,ادارة الاستثمار والتمويل,20213,53,False,0.6521739130434783,True,True,True,True,,False,,35.0,unresolved,"plausible content match exists, but structural/temporal evidence is insufficient or conflicting; human review required"
106.111,إدارة العلاقة مع الزبائن,111,7.111|9.111,20222,49,65.111,ادارة العملات الاجنبية,20212,38,False,0.6086956521739131,True,True,False,False,,False,,23.0,unresolved,"plausible content match exists, but structural/temporal evidence is insufficient or conflicting; human review required"
107.111,تصميم المنتج والتسعير,111,7.111,20222,46,523.111,تصميم المترجمات,20213,319,False,0.7222222222222222,True,False,True,False,,False,,20.0,unresolved,"plausible content match exists, but structural/temporal evidence is insufficient or conflicting; human review required"
108.111,بحوث ونظم المعلومات التسويقية,111,7.111,20232,23,195.111,نظم المعلومات الادارية,20212,76,False,0.7058823529411765,False,False,True,True,,False,,22.0,unresolved,"plausible content match exists, but structural/temporal evidence is insufficient or conflicting; human review required"
109.111,إدارة التجزئة,111,7.111,20231,32,72.111,إدارة الجودة,20213,557,False,0.8,False,True,False,False,,False,,25.0,unresolved,"plausible content match exists, but structural/temporal evidence is insufficient or conflicting; human review required"
110.111,قنوات التوزيع,111,7.111,20223,21,89.111,نظريات التنظيم,20183,17,False,0.5925925925925926,True,True,False,True,,False,,28.0,genuinely_new,best historical normalized-name similarity 0.593 is below 0.60
111.111,التسويق الدولي,111,7.111,20223,14,23.111,التدقيق الداخلي,20213,84,False,0.7586206896551724,True,True,True,True,,False,,35.0,unresolved,"plausible content match exists, but structural/temporal evidence is insufficient or conflicting; human review required"
113.111,إدارة العلامة التجارية,111,7.111,20233,7,65.111,ادارة العملات الاجنبية,20212,38,False,0.7272727272727273,True,True,True,True,,False,,35.0,unresolved,"plausible content match exists, but structural/temporal evidence is insufficient or conflicting; human review required"
114.111,التسويق الالكتروني,111,7.111,20232,15,23.111,التدقيق الداخلي,20213,84,False,0.6666666666666666,True,False,True,True,,False,,30.0,unresolved,"plausible content match exists, but structural/temporal evidence is insufficient or conflicting; human review required"
115.111,التسويق الاستراتيجي,111,7.111,20231,11,84.111,إدارة استراتيجية,20213,177,False,0.6285714285714286,True,True,True,False,,False,,30.0,unresolved,"plausible content match exists, but structural/temporal evidence is insufficient or conflicting; human review required"
116.111,اتخاذ القرار اللوجستي,111,7.111,20231,25,95.111,اتخاذ القرار وإدارة الأزمات,20213,141,False,0.6666666666666666,True,True,True,True,,False,,35.0,unresolved,"plausible content match exists, but structural/temporal evidence is insufficient or conflicting; human review required"
1163.111,الإنكليزية للمهندسين,111,26.111|27.111|29.111|30.111|31.111|45.111|46.111|47.111|48.111|49.111,20222,76,1080.111,لغة انكليزية لمهندسي البترول,20213,40,False,0.6666666666666666,True,True,True,False,,False,,25.0,unresolved,"plausible content match exists, but structural/temporal evidence is insufficient or conflicting; human review required"
